_id,userId,language,problem_type,problem_domain,problem_functionality,problem_complexity,complexity_time,complexity_space,quality_readability,quality_maintainability,quality_modularity,quality_documentation,quality_errorHandling,quality_duplication,timestamp,createdAt,updatedAt,__v,kmeans_cluster,dbscan_cluster,gmm_cluster,agg_cluster
e08ba79e-5258-40ef-9181-eda3f3036b56,9965c6d1-2de7-4e14-979b-1b5e2f8c2e6a,TypeScript,Debugging,Frontend,Error handling,Hard,O(1),O(1),72,75,75,67,78,51,1675253170000,1675253170000,1675253170000,0,0,0,0,1
047571b0-4d5b-42c0-873c-7c80a3d931dd,d64f3702-766d-4f5a-aeef-7b7fd8fe0db9,Go,Algorithm,Backend,Data processing,Hard,O(n^2),O(n),73,68,68,52,62,75,1699398421000,1699398421000,1699398421000,0,2,0,0,1
1597c9e8-cda1-4449-8d4f-50bbd33ff999,ab49312c-a1f1-4b51-a51e-e2d8f734fe7f,JavaScript,Debugging,Cloud,Data processing,Medium,O(1),O(1),72,72,53,36,57,70,1696873763000,1696873763000,1696873763000,0,2,0,2,0
842d00f4-3bba-4126-95eb-f3d8480755d0,5d072ee5-add8-4d75-8a2b-3724804d03f4,Python,Algorithm,Cloud,Database query optimization,Easy,O(n),O(1),92,2,77,77,74,34,1677492226000,1677492226000,1677492226000,0,1,-1,1,0
5285b4cf-782c-4053-9ef1-b73e0f3891dd,f8221a08-0e0e-4414-bf83-6c216ec7f149,Ruby,System Design,Cloud,Search algorithm,Medium,O(1),O(1),82,71,79,79,62,54,1676171633000,1676171633000,1676171633000,0,0,0,0,1
f71704dd-e3d0-48af-8376-da0b18d1677b,243cb2b4-11ce-4062-b3b2-fff2878380e9,TypeScript,Optimization,Cloud,Sorting algorithm,Medium,O(1),O(1),90,99,73,83,84,54,1689087734000,1689087734000,1689087734000,0,0,0,0,1
3f14d72c-4f21-4161-b679-2df182edfe28,2336c94d-d2f7-4b50-9cd3-e315bd3d1473,JavaScript,Debugging,Frontend,Data processing,Medium,O(1),O(1),80,73,66,61,65,55,1683240403000,1683240403000,1683240403000,0,0,0,0,1
955e45fe-8234-4576-bb79-0ff65ffe2eaa,26185839-5e7e-48bb-95aa-c937201691e9,JavaScript,System Design,Frontend,Search algorithm,Easy,O(1),O(1),88,98,85,76,81,44,1698748670000,1698748670000,1698748670000,0,0,0,0,1
344c72f4-c315-4f88-a643-4f55e159294d,f1f399dd-fcd6-464f-bc17-9f1b32a3b06a,Go,Data Structure,Frontend,Error handling,Medium,O(log n),O(n),98,90,90,88,90,31,1675464768000,1675464768000,1675464768000,0,0,0,0,1
9e13433f-b2f2-451e-9ae1-1b7b31347e6d,9065e4cc-8ef1-4b2f-b958-22c29806c634,Go,Algorithm,Backend,Authentication,Easy,O(n),O(1),85,83,81,80,87,40,1691298561000,1691298561000,1691298561000,0,0,0,0,1
1d960541-a264-42c4-a2d1-066503a50e67,f0ede664-1525-4aba-b754-ef2e2acdf734,Go,Data Structure,Frontend,Search algorithm,Medium,O(log n),O(n),60,67,48,35,53,63,1699649744000,1699649744000,1699649744000,0,2,0,2,0
0f75ed31-1b03-4730-a1e1-c1bbc6e720e2,bccaa14a-b779-42e5-820e-159905cede22,Ruby,System Design,Database,UI rendering,Hard,O(1),O(1),74,81,60,61,68,63,1674410572000,1674410572000,1674410572000,0,0,0,0,1
1d5f8ec0-454c-41e8-9cba-117425ae76a4,2558f71a-34d9-4fc8-97ac-4843a756c94f,TypeScript,System Design,Backend,Sorting algorithm,Medium,O(1),O(1),61,64,54,53,51,80,1683062572000,1683062572000,1683062572000,0,2,0,2,0
3f921c2c-8402-453e-bc8c-be89d2f447c3,fe36764f-e1f5-4225-8252-6ed3adc11d7d,Java,Optimization,Database,API integration,Hard,O(1),O(1),79,66,64,43,68,64,1694904954000,1694904954000,1694904954000,0,2,0,0,1
fa7d4e36-8c1e-470b-a70a-4a9d2d91be58,811a0bb8-2269-4b96-98b3-449eba876ae6,Rust,Algorithm,Database,UI rendering,Hard,O(n^2),O(n),79,77,58,63,67,76,1702933678000,1702933678000,1702933678000,0,0,0,0,1
19add7b6-d370-4ca2-b71c-1ff709b3dc20,28c51dba-84dc-4316-955f-42dd51bebbdd,JavaScript,System Design,Mobile,Authentication,Hard,O(1),O(1),53,48,53,30,40,60,1682863072000,1682863072000,1682863072000,0,2,0,2,0
157a60fd-effe-41f5-b891-790b62d0318d,3dffdda1-de17-4379-bef8-2fb56fcbf511,C++,Algorithm,Database,UI rendering,Hard,O(n^2),O(n),71,78,74,79,74,62,1686246976000,1686246976000,1686246976000,0,0,0,0,1
ccf0c303-d668-4c52-82d7-7afe317229c8,bcc8128c-fc19-4a5b-ab0b-557f7e7b748d,Ruby,Data Structure,Database,UI rendering,Hard,O(n),O(n^2),77,77,65,70,66,70,1680091788000,1680091788000,1680091788000,0,0,0,0,1
b2d39b63-6827-4d57-9197-53b7be6fca61,e59841a8-be1e-490c-afcc-89c6f7e2bc04,Python,Debugging,Backend,Error handling,Easy,O(1),O(1),87,100,73,87,89,43,1696810121000,1696810121000,1696810121000,0,0,0,0,1
60aac502-fe9f-4176-bfe1-40ec851a9efa,2336c94d-d2f7-4b50-9cd3-e315bd3d1473,Python,Data Structure,Frontend,Sorting algorithm,Hard,O(n),O(n^2),72,68,67,69,54,69,1702572960000,1702572960000,1702572960000,0,2,0,0,0
6d253bd3-afb6-4539-a442-3ff0ce043c7a,609d502b-583a-4071-bc48-49924a15213d,Ruby,Debugging,DevOps,Sorting algorithm,Medium,O(1),O(1),81,72,79,67,76,43,1679377303000,1679377303000,1679377303000,0,0,0,0,1
3788c165-b9e8-448d-95ea-d823911d6292,e1e96edc-a1a1-40d9-bd5b-c2e8b39849e2,Go,System Design,Backend,Authentication,Medium,O(1),O(1),79,54,45,35,61,53,1699669795000,1699669795000,1699669795000,0,2,0,2,0
115dea11-1694-4c63-b73f-7e074d9aa776,bccaa14a-b779-42e5-820e-159905cede22,Ruby,Debugging,Cloud,Database query optimization,Easy,O(1),O(1),46,43,72,66,64,67,1694468336000,1694468336000,1694468336000,0,1,-1,1,0
b1c50ed0-b982-41dd-982a-9ff48b723907,85bb0931-7b55-4846-b394-15c6f35befbf,Rust,API Design,DevOps,Authentication,Easy,O(1),O(1),82,72,65,55,74,49,1694250156000,1694250156000,1694250156000,0,0,0,0,1
3e8380b5-44f9-48d2-8f11-529b2e462c25,cb1281b7-ab03-4f02-a2a7-a96b0c7f87eb,Python,Data Structure,Database,Data processing,Easy,O(1),O(n),62,65,57,54,41,75,1687729188000,1687729188000,1687729188000,0,2,0,2,0
227fdfd5-bfa2-4391-852d-9d4859dbec4a,609d502b-583a-4071-bc48-49924a15213d,Rust,Debugging,Backend,Database query optimization,Medium,O(1),O(1),96,84,83,87,83,39,1673438868000,1673438868000,1673438868000,0,0,0,0,1
e2c3a999-2ca5-40a1-92cd-3b1ed31b113e,31b55da8-cbfe-4308-b350-6bee2f6a6d81,Rust,Algorithm,Mobile,Authentication,Easy,O(n),O(1),85,76,76,61,60,66,1697741631000,1697741631000,1697741631000,0,0,0,0,1
259cf511-62f2-46f3-a5f1-30d53e1a10a2,609d502b-583a-4071-bc48-49924a15213d,Python,Debugging,Backend,Database query optimization,Medium,O(1),O(1),54,64,48,53,62,70,1681932788000,1681932788000,1681932788000,0,2,0,2,0
f3b2a430-d046-468b-90c8-b03bc18a1d8b,e9629b8d-9d19-4348-9598-efbfdbafbf3c,Ruby,Data Structure,DevOps,API integration,Medium,O(log n),O(n),67,67,46,31,62,71,1686652556000,1686652556000,1686652556000,0,2,0,2,0
2d3b1b82-3a05-4130-a682-6bf6d1a56c85,4e823f1d-5647-474c-beb5-38c823769c25,Rust,System Design,Mobile,Data processing,Medium,O(1),O(1),97,96,75,80,81,36,1677501038000,1677501038000,1677501038000,0,0,0,0,1
30b09ea6-05a8-4de0-b479-15f9b43981a0,53635957-63b7-4dba-9bcd-c30f46632788,C++,System Design,Frontend,Sorting algorithm,Hard,O(1),O(1),66,69,52,51,57,64,1681085605000,1681085605000,1681085605000,0,2,0,2,0
ccef3da8-a419-4d11-8232-f65fa595372d,238efb38-22c1-4441-88c4-1dd3b0c768bc,Python,Optimization,Cloud,API integration,Easy,O(1),O(1),100,90,85,85,71,54,1692283729000,1692283729000,1692283729000,0,0,0,0,1
e84f43ee-24b4-490b-9534-8dabb0d42e22,3b965029-2006-4cc2-8a0b-a99583bbff06,TypeScript,Optimization,DevOps,Error handling,Hard,O(1),O(1),75,74,66,60,72,64,1680014753000,1680014753000,1680014753000,0,0,0,0,1
3e887365-e298-4b1b-b9a7-edb30b448f64,04234949-a77f-4d59-8219-7d11ea565d10,Ruby,Debugging,Mobile,Data processing,Easy,O(1),O(1),95,94,79,88,75,43,1677749948000,1677749948000,1677749948000,0,0,0,0,1
8fe1cc5d-ca41-4c1d-8a72-4a790e9b81c4,f1f399dd-fcd6-464f-bc17-9f1b32a3b06a,C++,System Design,DevOps,Error handling,Easy,O(1),O(1),61,76,54,30,45,66,1687708815000,1687708815000,1687708815000,0,2,0,2,0
b5b06d07-74c5-4a97-9237-27df62461495,51b19ebf-cf00-48b6-9c96-366654156a44,C++,Debugging,Cloud,Error handling,Medium,O(1),O(1),89,96,79,90,73,56,1694673745000,1694673745000,1694673745000,0,0,0,0,1
92fce015-e225-4527-8722-6d27eb5572d6,71e6094e-8806-422f-8107-9f86f63ce43a,C++,Algorithm,Cloud,Authentication,Medium,O(n log n),O(n),62,76,54,39,67,52,1675579969000,1675579969000,1675579969000,0,2,0,2,0
4ec7a78b-dc33-4df2-a5ed-f1d88bb1ef40,bea1a1ac-a466-4e8e-9e49-3f62fce8f364,Rust,Data Structure,Mobile,Error handling,Easy,O(1),O(n),68,70,41,48,49,62,1689807573000,1689807573000,1689807573000,0,2,0,2,0
